Problema 2
William Hawkins, vicepresidente de personal de la International Motors, trabaja en la relación entre el salario de un trabajador y el porcentaje de ausentismo. Hawkins dividió el intervalo de salarios de International en 12 grados o niveles (1 es el menor grado, 12 el más alto) y después muestreó aleatoriamente a un grupo de trabajadores. Determinó el grado de salario de cada trabajador y el número de días que ese empleado había faltado en los últimos 3 años.

 Categoria_de_salario,ausencias 
  11,18
  10,17
  8,29
  5,36
  9,11
  7,28
  3,35
  11,14
  8,20
  7,32
  2,39
  9,16
  8,31
  3,40
